individual.local.identifier..ID.	status	model	sex	age	weight	collar_type	brand	schedule	project_region	project_bioveg	timezone
1	Resident	OUF	Female	3	60	GPS Globalstar	Northstar	4 h	Humid chaco	Humid chaco	-4
2	Resident	OUF	Female	9	45	GPS Globalstar	Northstar	4 h	Forest Paraguay	Atlantic Forest	-4
3	Resident	OU	Male	6	101	GPS Globalstar	Northstar	4 h	Humid chaco	Humid chaco	-4
4	Resident	OUF	Female	4	68	GPS Globalstar	Northstar	4 h	Humid chaco	Humid chaco	-4
5	Not Resident	Not Resident	Female	6	74	GPS Globalstar	Northstar	4 h	Humid chaco	Humid chaco	-4
6	Resident	OUF	Male	4	91	GPS Globalstar	Northstar	4 h	Humid chaco	Atlantic Forest	-4
7	Resident	OUF	Male	10	110	GPS Globalstar	Northstar	4 h	Humid chaco	Humid chaco	-4
8	Resident	OUF	Male	2	59	GPS Globalstar	Northstar	4 h	Forest Paraguay	Atlantic Forest	-4
9	Resident	OUF	Female	1	NA	GPS Globalstar	Telonics	2 h from 1800 to 0600 h	Humid chaco	Humid chaco	-4
10	Resident	OUF	Female	6	NA	GPS Globalstar	Telonics	2 h from 1800 to 0600 h	Humid chaco	Humid chaco	-4
11	Resident	OU	Female	9	NA	GPS Globalstar	Telonics	2 h from 1800 to 0600 h	Humid chaco	Humid chaco	-4
12	Not Resident	Not Resident	Female	4	"70,5"	GPS Iridium	Lotek	1h	Taiama	Pantanal	-4
13	Resident	OUF	Male	8	101	GPS Iridium	Lotek	1h	Taiama	Pantanal	-4
14	Not Estimated	Not Estimated	Male	5	112	GPS Iridium	Lotek	1h	Oncafari	Pantanal	-4
15	Resident	OUF	Male	5	115	GPS Iridium	Lotek	1h	Oncafari	Pantanal	-4
16	Resident	OUF	Male	5	90	GPS Globalstar	Northstar	4 h	Dry chaco	Dry chaco	-4
17	Not Resident	Not Resident	Male	2	55	GPS Globalstar	Northstar	4 h	Cerrado1	Cerrado	-3
18	Resident	OUF	Male	5	110	GPS Iridium	Lotek	1h	Taiama	Pantanal	-4
19	Resident	OUF	Female	10	85	GPS Iridium	Lotek	1h	Oncafari	Pantanal	-4
20	Not Resident	Not Resident	Male	5	37	GPS Iridium	Sirtrack	1h	Caatinga	Caatinga	-3
21	Resident	OUF	Female	5	56	GPS Globalstar	Northstar	4 h	Forest Paraguay	Atlantic Forest	-4
22	Resident	OUF	Male	7	80	GPS Iridium	Lotek	1h	Taiama	Pantanal	-4
