x	y	date	dt	timestamp.posix	GMTtime	id	country	status	model	sex	age	weight	schedule	project_region	project_bioveg	timezone	week	day	year	hour	min	time	period	utm_x	utm_y	long_x	lat_y
-52.15878817	-22.64199331	2003-02-11 19:18:00	327420	2003-02-11 19:18:00	2003-02-11 22:18:00	34	Brazil	Resident	OU	Female	7	68	8h	Atlantic Forest W1	Atlantic Forest	-3	6	42	2003	19	18	19.3	night	380928.999951236	7495646.99963765	-52.15878817	-22.64199331
-52.18616764	-22.65066296	2003-02-15 14:15:00	108000	2003-02-15 14:15:00	2003-02-15 17:15:00	34	Brazil	Resident	OU	Female	7	68	8h	Atlantic Forest W1	Atlantic Forest	-3	6	46	2003	14	15	14.25	day	378122.999848173	7494664.99992759	-52.18616764	-22.65066296
-52.22975526	-22.67036821	2003-02-16 20:15:00	86460	2003-02-16 20:15:00	2003-02-16 23:15:00	34	Brazil	Resident	OU	Female	7	68	8h	Atlantic Forest W1	Atlantic Forest	-3	6	47	2003	20	15	20.25	night	373661.999851729	7492446.99957134	-52.22975526	-22.67036821
-52.22400189	-22.66254509	2003-02-17 20:16:00	68400	2003-02-17 20:16:00	2003-02-17 23:16:00	34	Brazil	Resident	OU	Female	7	68	8h	Atlantic Forest W1	Atlantic Forest	-3	7	48	2003	20	16	20.2666666666667	night	374246.000413384	7493317.99983808	-52.22400189	-22.66254509
-52.24710806	-22.63473698	2003-02-18 15:16:00	17940	2003-02-18 15:16:00	2003-02-18 18:16:00	34	Brazil	Resident	OU	Female	7	68	8h	Atlantic Forest W1	Atlantic Forest	-3	7	49	2003	15	16	15.2666666666667	day	371845.999605974	7496377.00049513	-52.24710806	-22.63473698
-52.253297	-22.63801263	2003-02-18 20:15:00	68400	2003-02-18 20:15:00	2003-02-18 23:15:00	34	Brazil	Resident	OU	Female	7	68	8h	Atlantic Forest W1	Atlantic Forest	-3	7	49	2003	20	15	20.25	night	371213.000286288	7496008.99987121	-52.253297	-22.63801263
-52.24810339	-22.63182083	2003-02-19 15:15:00	18000	2003-02-19 15:15:00	2003-02-19 18:15:00	34	Brazil	Resident	OU	Female	7	68	8h	Atlantic Forest W1	Atlantic Forest	-3	7	50	2003	15	15	15.25	day	371741.000161907	7496698.99953026	-52.24810339	-22.63182083
-52.24818123	-22.63182022	2003-02-19 20:15:00	86400	2003-02-19 20:15:00	2003-02-19 23:15:00	34	Brazil	Resident	OU	Female	7	68	8h	Atlantic Forest W1	Atlantic Forest	-3	7	50	2003	20	15	20.25	night	371732.999617478	7496698.99999288	-52.24818123	-22.63182022
-52.28138758	-22.6557196	2003-02-20 20:15:00	86460	2003-02-20 20:15:00	2003-02-20 23:15:00	34	Brazil	Resident	OU	Female	7	68	8h	Atlantic Forest W1	Atlantic Forest	-3	7	51	2003	20	15	20.25	night	368343.000201007	7494024.00029208	-52.28138758	-22.6557196
-52.28145629	-22.65578228	2003-02-21 20:16:00	86340	2003-02-21 20:16:00	2003-02-21 23:16:00	34	Brazil	Resident	OU	Female	7	68	8h	Atlantic Forest W1	Atlantic Forest	-3	7	52	2003	20	16	20.2666666666667	night	368335.999509132	7494016.99986952	-52.28145629	-22.65578228
-52.28145629	-22.65578228	2003-02-22 20:15:00	37200	2003-02-22 20:15:00	2003-02-22 23:15:00	34	Brazil	Resident	OU	Female	7	68	8h	Atlantic Forest W1	Atlantic Forest	-3	7	53	2003	20	15	20.25	night	368335.999509132	7494016.99986952	-52.28145629	-22.65578228
-52.28103257	-22.64682568	2003-02-23 06:35:00	49260	2003-02-23 06:35:00	2003-02-23 09:35:00	34	Brazil	Resident	OU	Female	7	68	8h	Atlantic Forest W1	Atlantic Forest	-3	7	54	2003	6	35	6.58333333333333	riseset	368371.000038194	7495009.00016562	-52.28103257	-22.64682568
