location.long	location.lat	timestamp	individual.local.identifier	sex	age	weight	status	model	project_region	project_bioveg	country	GMTtime	local_time	idf	dt	Event_ID	utm_x	utm_y	long_x	lat_y
-85.6581841	10.7679539	2014-11-19 21:56:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-20 03:56:00	2014-11-19 21:56:00	26	NA	37735	646711.140365932	1190643.18799999	-85.6581841	10.7679539
-85.6557161	10.7690012	2014-11-20 00:00:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-20 06:00:00	2014-11-20 00:00:00	26	7080	37736	646980.524430576	1190760.19876194	-85.6557161	10.7690012
-85.655714	10.7690418	2014-11-20 02:00:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-20 08:00:00	2014-11-20 02:00:00	26	7200	37737	646980.734390024	1190764.69001974	-85.655714	10.7690418
-85.654895	10.7688802	2014-11-20 04:00:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-20 10:00:00	2014-11-20 04:00:00	26	7200	37738	647070.3755368	1190747.21031827	-85.654895	10.7688802
-85.6545647	10.7689428	2014-11-20 06:00:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-20 12:00:00	2014-11-20 06:00:00	26	7200	37739	647106.465536078	1190754.29220539	-85.6545647	10.7689428
-85.6523474	10.7687434	2014-11-20 08:00:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-20 14:00:00	2014-11-20 08:00:00	26	7200	37740	647349.038241816	1190733.304045	-85.6523474	10.7687434
-85.6529718	10.7710905	2014-11-20 10:02:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-20 16:02:00	2014-11-20 10:02:00	26	7320	37741	647279.615468644	1190992.58721041	-85.6529718	10.7710905
-85.6529766	10.7712919	2014-11-20 12:01:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-20 18:01:00	2014-11-20 12:01:00	26	7140	37742	647278.992676383	1191014.85922863	-85.6529766	10.7712919
-85.6543007	10.7714653	2014-11-20 14:01:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-20 20:01:00	2014-11-20 14:01:00	26	7200	37743	647134.110911353	1191033.40080299	-85.6543007	10.7714653
-85.654206	10.7715435	2014-11-20 16:01:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-20 22:01:00	2014-11-20 16:01:00	26	7200	37744	647144.428891829	1191042.09498679	-85.654206	10.7715435
-85.6542606	10.7714511	2014-11-20 18:01:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-21 00:01:00	2014-11-20 18:01:00	26	7200	37745	647138.502957007	1191031.84957263	-85.6542606	10.7714511
-85.6549676	10.7729544	2014-11-20 20:00:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-21 02:00:00	2014-11-20 20:00:00	26	7140	37746	647060.459084583	1191197.77123516	-85.6549676	10.7729544
-85.6559319	10.7772544	2014-11-20 22:02:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-21 04:02:00	2014-11-20 22:02:00	26	7320	37747	646952.92219322	1191672.87717951	-85.6559319	10.7772544
-85.6560158	10.7772508	2014-11-21 00:01:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-21 06:01:00	2014-11-21 00:01:00	26	7140	37748	646943.749205449	1191672.43877761	-85.6560158	10.7772508
-85.6556615	10.7788811	2014-11-21 02:00:00	26	Female	3	42	Resident	OUF	Costa Rica	Rainforest North	Costa Rica	2014-11-21 08:00:00	2014-11-21 02:00:00	26	7140	37749	646981.701765087	1191852.9156719	-85.6556615	10.7788811
