location.long	location.lat	timestamp	individual.local.identifier	sex	age	weight	status	model	project_region	project_bioveg	country	GMTtime	local_time	idf	dt	Event_ID	utm_x	utm_y	long_x	lat_y
-42.55685	-8.69246	2015-09-16 05:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-16 08:00:00	2015-09-16 05:00:00	20	NA	23310	768837.596701412	9038281.66977153	-42.55685	-8.69246
-42.55687	-8.69248	2015-09-16 06:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-16 09:00:00	2015-09-16 06:00:00	20	3600	23311	768835.380403132	9038279.47093028	-42.55687	-8.69248
-42.55688	-8.69245	2015-09-16 07:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-16 10:00:00	2015-09-16 07:00:00	20	3600	23312	768834.300794691	9038282.79759089	-42.55688	-8.69245
-42.5568	-8.6925	2015-09-16 08:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-16 11:00:00	2015-09-16 08:00:00	20	3600	23313	768843.073229755	9038277.20819103	-42.5568	-8.6925
-42.5568	-8.69245	2015-09-16 09:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-16 12:00:00	2015-09-16 09:00:00	20	3600	23314	768843.108906711	9038282.74079292	-42.5568	-8.69245
-42.55752	-8.69189	2015-09-16 10:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-16 13:00:00	2015-09-16 10:00:00	20	3600	23315	768764.235366569	9038345.21701601	-42.55752	-8.69189
-42.55759	-8.69192	2015-09-16 11:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-16 14:00:00	2015-09-16 11:00:00	20	3600	23316	768756.506863172	9038341.94713737	-42.55759	-8.69192
-42.55762	-8.69192	2015-09-16 12:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-16 15:00:00	2015-09-16 12:00:00	20	3600	23317	768753.203818314	9038341.96842866	-42.55762	-8.69192
-42.55747	-8.69192	2015-09-16 14:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-16 17:00:00	2015-09-16 14:00:00	20	7200	23318	768769.71904331	9038341.86196957	-42.55747	-8.69192
-42.55763	-8.69191	2015-09-16 15:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-16 18:00:00	2015-09-16 15:00:00	20	3600	23319	768752.109935881	9038343.0820454	-42.55763	-8.69191
-42.55757	-8.69188	2015-09-16 16:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-16 19:00:00	2015-09-16 16:00:00	20	3600	23320	768758.737423786	9038346.359022	-42.55757	-8.69188
-42.55758	-8.69188	2015-09-16 17:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-16 20:00:00	2015-09-16 17:00:00	20	3600	23321	768757.636408692	9038346.36611915	-42.55758	-8.69188
-42.55756	-8.69193	2015-09-16 18:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-16 21:00:00	2015-09-16 18:00:00	20	3600	23322	768759.802775383	9038340.81932606	-42.55756	-8.69193
-42.55749	-8.69194	2015-09-16 19:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-16 22:00:00	2015-09-16 19:00:00	20	3600	23323	768767.502747355	9038339.66312489	-42.55749	-8.69194
-42.55756	-8.69205	2015-09-16 21:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 00:00:00	2015-09-16 21:00:00	20	7200	23324	768759.717182142	9038327.54108902	-42.55756	-8.69205
-42.55767	-8.69203	2015-09-16 22:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 01:00:00	2015-09-16 22:00:00	20	3600	23325	768747.620286917	9038329.83219724	-42.55767	-8.69203
-42.55777	-8.69206	2015-09-16 23:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 02:00:00	2015-09-16 23:00:00	20	3600	23326	768736.588744921	9038326.58360696	-42.55777	-8.69206
-42.55756	-8.69197	2015-09-17 00:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 03:00:00	2015-09-17 00:00:00	20	3600	23327	768759.774244433	9038336.39324705	-42.55756	-8.69197
-42.55757	-8.69202	2015-09-17 01:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 04:00:00	2015-09-17 01:00:00	20	3600	23328	768758.637565872	9038330.86774558	-42.55757	-8.69202
-42.55764	-8.69205	2015-09-17 02:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 05:00:00	2015-09-17 02:00:00	20	3600	23329	768750.909065537	9038327.59786674	-42.55764	-8.69205
-42.55755	-8.69191	2015-09-17 03:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 06:00:00	2015-09-17 03:00:00	20	3600	23330	768760.91805583	9038343.02526833	-42.55755	-8.69191
-42.55757	-8.69196	2015-09-17 04:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 07:00:00	2015-09-17 04:00:00	20	3600	23331	768758.680362316	9038337.50686405	-42.55757	-8.69196
-42.55758	-8.69196	2015-09-17 05:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 08:00:00	2015-09-17 05:00:00	20	3600	23332	768757.579347456	9038337.51396127	-42.55758	-8.69196
-42.55759	-8.69187	2015-09-17 06:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 09:00:00	2015-09-17 06:00:00	20	3600	23333	768756.542526195	9038347.479736	-42.55759	-8.69187
-42.55759	-8.69188	2015-09-17 07:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 10:00:00	2015-09-17 07:00:00	20	3600	23334	768756.535393607	9038346.37321627	-42.55759	-8.69188
-42.55759	-8.69185	2015-09-17 08:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 11:00:00	2015-09-17 08:00:00	20	3600	23335	768756.556791348	9038349.69277545	-42.55759	-8.69185
-42.55608	-8.6796	2015-09-17 09:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 12:00:00	2015-09-17 09:00:00	20	3600	23336	768931.546869648	9039704.10855364	-42.55608	-8.6796
-42.5514	-8.6733	2015-09-17 10:01:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 13:01:00	2015-09-17 10:01:00	20	3660	23337	769451.337186217	9040397.89646759	-42.5514	-8.6733
-42.5515	-8.6729	2015-09-17 11:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 14:00:00	2015-09-17 11:00:00	20	3540	23338	769440.61184709	9040442.22841672	-42.5515	-8.6729
-42.55129	-8.67294	2015-09-17 12:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 15:00:00	2015-09-17 12:00:00	20	3600	23339	769463.70589034	9040437.65321923	-42.55129	-8.67294
-42.55156	-8.67283	2015-09-17 13:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 16:00:00	2015-09-17 13:00:00	20	3600	23340	769434.055337815	9040450.01668022	-42.55156	-8.67283
-42.5515	-8.67281	2015-09-17 14:01:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 17:01:00	2015-09-17 14:01:00	20	3660	23341	769440.676061132	9040452.18712958	-42.5515	-8.67281
-42.55154	-8.67282	2015-09-17 15:01:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-17 18:01:00	2015-09-17 15:01:00	20	3600	23342	769436.264623731	9040451.10900464	-42.55154	-8.67282
-42.5514	-8.67335	2015-09-17 21:01:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-18 00:01:00	2015-09-17 21:01:00	20	21600	23343	769451.301508369	9040392.36384883	-42.5514	-8.67335
-42.54453	-8.67168	2015-09-17 22:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-18 01:00:00	2015-09-17 22:00:00	20	3540	23344	770208.936218238	9040572.26934966	-42.54453	-8.67168
-42.54549	-8.66991	2015-09-17 23:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-18 02:00:00	2015-09-17 23:00:00	20	3600	23345	770104.497830103	9040768.80816346	-42.54549	-8.66991
-42.55465	-8.67086	2015-09-18 00:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-18 03:00:00	2015-09-18 00:00:00	20	3600	23346	769095.226960312	9040670.19371655	-42.55465	-8.67086
-42.5585	-8.67456	2015-09-18 01:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-18 04:00:00	2015-09-18 01:00:00	20	3600	23347	768668.679873624	9040263.50913892	-42.5585	-8.67456
-42.56152	-8.67534	2015-09-18 02:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-18 05:00:00	2015-09-18 02:00:00	20	3600	23348	768335.60421846	9040179.33796685	-42.56152	-8.67534
-42.56153	-8.67536	2015-09-18 03:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-18 06:00:00	2015-09-18 03:00:00	20	3600	23349	768334.488942858	9040177.13200776	-42.56153	-8.67536
-42.5611	-8.67682	2015-09-18 04:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-18 07:00:00	2015-09-18 04:00:00	20	3600	23350	768380.796561755	9040015.27649481	-42.5611	-8.67682
-42.56154	-8.67909	2015-09-18 05:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-18 08:00:00	2015-09-18 05:00:00	20	3600	23351	768330.736186708	9039764.40864688	-42.56154	-8.67909
-42.55635	-8.68229	2015-09-18 06:01:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-18 09:01:00	2015-09-18 06:01:00	20	3660	23352	768899.901215762	9039406.64609044	-42.55635	-8.68229
-42.55397	-8.69455	2015-09-18 07:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-18 10:00:00	2015-09-18 07:00:00	20	3540	23353	769153.195845265	9038048.36060401	-42.55397	-8.69455
-42.55286	-8.70064	2015-09-18 08:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-18 11:00:00	2015-09-18 08:00:00	20	3600	23354	769271.052989485	9037373.69828008	-42.55286	-8.70064
-42.55313	-8.70099	2015-09-18 09:00:00	20	Male	5	37	Not Resident	Not Resident	Caatinga	Caatinga	Brazil	2015-09-18 12:00:00	2015-09-18 09:00:00	20	3600	23355	769241.075824458	9037335.16212231	-42.55313	-8.70099
