location.long	location.lat	timestamp	individual.local.identifier	sex	age	weight	status	model	project_region	project_bioveg	country	GMTtime	local_time	idf	dt	Event_ID	utm_x	utm_y	long_x	lat_y
-48.476701	-15.858743	2013-09-06 18:55:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-06 21:55:00	2013-09-06 18:55:00	89	NA	108079	770235.399600593	8245062.73198227	-48.476701	-15.858743
-48.475564	-15.859215	2013-09-06 19:58:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-06 22:58:00	2013-09-06 19:58:00	89	3780	108080	770356.605774452	8245009.01168618	-48.475564	-15.859215
-48.479126	-15.859956	2013-09-06 23:58:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-07 02:58:00	2013-09-06 23:58:00	89	14400	108081	769973.932352982	8244931.57491872	-48.479126	-15.859956
-48.479126	-15.859998	2013-09-07 01:59:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-07 04:59:00	2013-09-07 01:59:00	89	7260	108082	769973.876409597	8244926.92531997	-48.479126	-15.859998
-48.479126	-15.859569	2013-09-07 02:59:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-07 05:59:00	2013-09-07 02:59:00	89	3600	108083	769974.447824513	8244974.41764942	-48.479126	-15.859569
-48.479126	-15.859923	2013-09-07 07:59:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-07 10:59:00	2013-09-07 07:59:00	89	18000	108084	769973.976308397	8244935.22817487	-48.479126	-15.859923
-48.479147	-15.859966	2013-09-07 09:59:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-07 12:59:00	2013-09-07 09:59:00	89	7200	108085	769971.668787184	8244930.49494594	-48.479147	-15.859966
-48.47919	-15.859977	2013-09-07 13:59:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-07 16:59:00	2013-09-07 13:59:00	89	14400	108086	769967.046489333	8244929.33263159	-48.47919	-15.859977
-48.47919	-15.85988	2013-09-07 16:59:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-07 19:59:00	2013-09-07 16:59:00	89	10800	108087	769967.175688236	8244940.07099012	-48.47919	-15.85988
-48.479211	-15.860009	2013-09-07 19:59:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-07 22:59:00	2013-09-07 19:59:00	89	10800	108088	769964.753621459	8244925.81715422	-48.479211	-15.860009
-48.47919	-15.859956	2013-09-07 23:59:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-08 02:59:00	2013-09-07 23:59:00	89	14400	108089	769967.074460295	8244931.65743086	-48.47919	-15.859956
-48.479211	-15.85988	2013-09-08 00:59:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-08 03:59:00	2013-09-08 00:59:00	89	3600	108090	769964.925441416	8244940.09806385	-48.479211	-15.85988
-48.479147	-15.859838	2013-09-08 03:58:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-08 06:58:00	2013-09-08 03:58:00	89	10740	108091	769971.839279098	8244944.6651514	-48.479147	-15.859838
-48.479211	-15.859891	2013-09-08 04:59:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-08 07:59:00	2013-09-08 04:59:00	89	3660	108092	769964.910790154	8244938.88031187	-48.479211	-15.859891
-48.479126	-15.859934	2013-09-08 10:59:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-08 13:59:00	2013-09-08 10:59:00	89	21600	108093	769973.961656602	8244934.01042282	-48.479126	-15.859934
-48.479147	-15.859923	2013-09-08 11:59:00	89	Male	6	95	Resident	OUF	Cerrado2	Cerrado	Brazil	2013-09-08 14:59:00	2013-09-08 11:59:00	89	3600	108094	769971.726061961	8244935.25524935	-48.479147	-15.859923
