location.long	location.lat	timestamp	individual.local.identifier	sex	age	weight	status	model	project_region	project_bioveg	country	GMTtime	local_time	idf	dt	Event_ID	utm_x	utm_y	long_x	lat_y
-59.661991	-19.644617	2003-07-16 13:25:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-16 17:25:00	2003-07-16 13:25:00	71	NA	75859	220843.986208394	7825663.37551821	-59.661991	-19.644617
-59.662068	-19.644372	2003-07-16 19:21:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-16 23:21:00	2003-07-16 19:21:00	71	21360	75860	220835.482765288	7825690.38266774	-59.662068	-19.644372
-59.662059	-19.644348	2003-07-17 02:22:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-17 06:22:00	2003-07-17 02:22:00	71	25260	75861	220836.385555911	7825693.05539799	-59.662059	-19.644348
-59.661904	-19.644331	2003-07-17 04:41:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-17 08:41:00	2003-07-17 04:41:00	71	8340	75862	220852.619716129	7825695.19233398	-59.661904	-19.644331
-59.664004	-19.643044	2003-07-17 07:01:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-17 11:01:00	2003-07-17 07:01:00	71	8400	75863	220630.04468422	7825834.28073826	-59.664004	-19.643044
-59.664723	-19.654177	2003-07-17 11:42:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-17 15:42:00	2003-07-17 11:42:00	71	16860	75864	220573.897697498	7824600.13250095	-59.664723	-19.654177
-59.662302	-19.667366	2003-07-17 16:21:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-17 20:21:00	2003-07-17 16:21:00	71	16740	75865	220850.761197219	7823143.43982451	-59.662302	-19.667366
-59.663708	-19.682237	2003-07-17 18:40:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-17 22:40:00	2003-07-17 18:40:00	71	8340	75866	220729.053471244	7821494.18044082	-59.663708	-19.682237
-59.665955	-19.691654	2003-07-17 21:01:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-18 01:01:00	2003-07-17 21:01:00	71	8460	75867	220509.698917976	7820447.55818115	-59.665955	-19.691654
-59.66682	-19.692163	2003-07-18 01:41:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-18 05:41:00	2003-07-18 01:41:00	71	16800	75868	220419.848850595	7820389.76281231	-59.66682	-19.692163
-59.658314	-19.704492	2003-07-18 08:41:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-18 12:41:00	2003-07-18 08:41:00	71	25200	75869	221333.456308796	7819038.32043745	-59.658314	-19.704492
-59.633012	-19.738965	2003-07-18 18:02:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-18 22:02:00	2003-07-18 18:02:00	71	33660	75870	224046.528902599	7815261.87073373	-59.633012	-19.738965
-59.628454	-19.746585	2003-07-18 20:22:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-19 00:22:00	2003-07-18 20:22:00	71	8400	75871	224537.578738321	7814425.39311386	-59.628454	-19.746585
-59.625325	-19.749628	2003-07-18 22:41:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-19 02:41:00	2003-07-18 22:41:00	71	8340	75872	224870.898178924	7814093.47537644	-59.625325	-19.749628
-59.615757	-19.751804	2003-07-19 05:42:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-19 09:42:00	2003-07-19 05:42:00	71	25260	75873	225877.869340769	7813868.00716643	-59.615757	-19.751804
-59.613158	-19.750638	2003-07-19 08:01:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-19 12:01:00	2003-07-19 08:01:00	71	8340	75874	226148.390578986	7814001.34276761	-59.613158	-19.750638
-59.613188	-19.747044	2003-07-19 10:22:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-19 14:22:00	2003-07-19 10:22:00	71	8460	75875	226139.106687567	7814399.31663961	-59.613188	-19.747044
-59.613649	-19.741281	2003-07-19 12:41:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-19 16:41:00	2003-07-19 12:41:00	71	8340	75876	226080.925788777	7815036.80230518	-59.613649	-19.741281
-59.615996	-19.752226	2003-07-19 15:02:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-19 19:02:00	2003-07-19 15:02:00	71	8460	75877	225853.531089948	7813820.88518559	-59.615996	-19.752226
-59.616072	-19.751971	2003-07-19 17:21:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-19 21:21:00	2003-07-19 17:21:00	71	8340	75878	225845.126204868	7813849.00251483	-59.616072	-19.751971
-59.616125	-19.751896	2003-07-19 19:41:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-19 23:41:00	2003-07-19 19:41:00	71	8400	75879	225839.440739186	7813857.22269693	-59.616125	-19.751896
-59.616033	-19.751961	2003-07-19 22:01:00	71	Female	9	41	Resident	OUF	Dry chaco	Dry chaco	Paraguay	2003-07-20 02:01:00	2003-07-19 22:01:00	71	8400	75880	225849.198370225	7813850.17312389	-59.616033	-19.751961
