location.long	location.lat	timestamp	individual.local.identifier	sex	age	weight	status	model	project_region	project_bioveg	country	GMTtime	local_time	idf	dt	Event_ID	utm_x	utm_y	long_x	lat_y
-55.413387	-24.13456	2010-07-21 09:38:00	2	Female	9	45	Resident	OUF	Forest Paraguay	Atlantic Forest	Paraguay	2010-07-21 13:38:00	2010-07-21 09:38:00	2	NA	289	661221.684576822	7329962.7862469	-55.413387	-24.13456
-55.411863	-24.133412	2010-07-21 18:31:00	2	Female	9	45	Resident	OUF	Forest Paraguay	Atlantic Forest	Paraguay	2010-07-21 22:31:00	2010-07-21 18:31:00	2	31980	290	661378.011707545	7330088.16577434	-55.411863	-24.133412
-55.410104	-24.137188	2010-07-22 03:26:00	2	Female	9	45	Resident	OUF	Forest Paraguay	Atlantic Forest	Paraguay	2010-07-22 07:26:00	2010-07-22 03:26:00	2	32100	291	661552.036699665	7329667.96709047	-55.410104	-24.137188
-55.410941	-24.13648	2010-07-23 01:42:00	2	Female	9	45	Resident	OUF	Forest Paraguay	Atlantic Forest	Paraguay	2010-07-23 05:42:00	2010-07-23 01:42:00	2	80160	292	661467.862535062	7329747.33938055	-55.410941	-24.13648
-55.407743	-24.139806	2010-07-24 17:27:00	2	Female	9	45	Resident	OUF	Forest Paraguay	Atlantic Forest	Paraguay	2010-07-24 21:27:00	2010-07-24 17:27:00	2	143100	293	661788.687498811	7329375.31234667	-55.407743	-24.139806
-55.410061	-24.136984	2010-07-25 22:35:00	2	Female	9	45	Resident	OUF	Forest Paraguay	Atlantic Forest	Paraguay	2010-07-26 02:35:00	2010-07-25 22:35:00	2	104880	294	661556.663180922	7329690.5093616	-55.410061	-24.136984
-55.403903	-24.132789	2010-07-27 02:28:00	2	Female	9	45	Resident	OUF	Forest Paraguay	Atlantic Forest	Paraguay	2010-07-27 06:28:00	2010-07-27 02:28:00	2	100380	295	662187.790381556	7330147.9660393	-55.403903	-24.132789
-55.410254	-24.136094	2010-07-28 02:40:00	2	Female	9	45	Resident	OUF	Forest Paraguay	Atlantic Forest	Paraguay	2010-07-28 06:40:00	2010-07-28 02:40:00	2	87120	296	661538.167281371	7329789.29454699	-55.410254	-24.136094
-55.407636	-24.139752	2010-07-28 10:34:00	2	Female	9	45	Resident	OUF	Forest Paraguay	Atlantic Forest	Paraguay	2010-07-28 14:34:00	2010-07-28 10:34:00	2	28440	297	661799.629596416	7329381.16893226	-55.407636	-24.139752
-55.41579	-24.138465	2010-07-28 22:37:00	2	Female	9	45	Resident	OUF	Forest Paraguay	Atlantic Forest	Paraguay	2010-07-29 02:37:00	2010-07-28 22:37:00	2	43380	298	660972.574271157	7329533.09372957	-55.41579	-24.138465
