location.long	location.lat	timestamp	individual.local.identifier	sex	age	weight	status	model	project_region	project_bioveg	country	GMTtime	local_time	idf	dt	Event_ID	utm_x	utm_y	long_x	lat_y
-58.030128	-23.326947	2010-06-15 18:43:00	1	Female	3	60	Resident	OUF	Humid chaco	Humid chaco	Paraguay	2010-06-15 22:43:00	2010-06-15 18:43:00	1	NA	1	394682.956440219	7419911.62768145	-58.030128	-23.326947
-58.030643	-23.328427	2010-06-15 22:52:00	1	Female	3	60	Resident	OUF	Humid chaco	Humid chaco	Paraguay	2010-06-16 02:52:00	2010-06-15 22:52:00	1	14940	2	394631.467861225	7419747.39196424	-58.030643	-23.328427
-58.030472	-23.327311	2010-06-16 18:36:00	1	Female	3	60	Resident	OUF	Humid chaco	Humid chaco	Paraguay	2010-06-16 22:36:00	2010-06-16 18:36:00	1	71040	3	394648.071387027	7419871.07633804	-58.030472	-23.327311
-58.027983	-23.309952	2010-06-17 12:42:00	1	Female	3	60	Resident	OUF	Humid chaco	Humid chaco	Paraguay	2010-06-17 16:42:00	2010-06-17 12:42:00	1	65160	4	394888.905886763	7421794.81458922	-58.027983	-23.309952
-58.027747	-23.310006	2010-06-17 16:37:00	1	Female	3	60	Resident	OUF	Humid chaco	Humid chaco	Paraguay	2010-06-17 20:37:00	2010-06-17 16:37:00	1	14100	5	394913.081079807	7421789.00723679	-58.027747	-23.310006
-58.02206	-23.297174	2010-06-17 20:44:00	1	Female	3	60	Resident	OUF	Humid chaco	Humid chaco	Paraguay	2010-06-18 00:44:00	2010-06-17 20:44:00	1	14820	6	395484.59156317	7423213.83377677	-58.02206	-23.297174
-58.012147	-23.274697	2010-06-18 21:37:00	1	Female	3	60	Resident	OUF	Humid chaco	Humid chaco	Paraguay	2010-06-19 01:37:00	2010-06-18 21:37:00	1	89580	7	396480.983394989	7425709.50848198	-58.012147	-23.274697
-58.004401	-23.273292	2010-06-19 01:37:00	1	Female	3	60	Resident	OUF	Humid chaco	Humid chaco	Paraguay	2010-06-19 05:37:00	2010-06-19 01:37:00	1	14400	8	397272.197250259	7425870.57334892	-58.004401	-23.273292
-57.997148	-23.276092	2010-06-19 14:37:00	1	Female	3	60	Resident	OUF	Humid chaco	Humid chaco	Paraguay	2010-06-19 18:37:00	2010-06-19 14:37:00	1	46800	9	398016.201362937	7425565.69136504	-57.997148	-23.276092
-57.993844	-23.273517	2010-06-19 18:58:00	1	Female	3	60	Resident	OUF	Humid chaco	Humid chaco	Paraguay	2010-06-19 22:58:00	2010-06-19 18:58:00	1	15660	10	398352.188850731	7425853.10323685	-57.993844	-23.273517
