location.long	location.lat	timestamp	individual.local.identifier	sex	age	weight	status	model	project_region	project_bioveg	country	GMTtime	local_time	idf	dt	Event_ID	utm_x	utm_y	long_x	lat_y
-53.75258327	-25.10839406	2012-01-27 13:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-01-27 16:01:00	2012-01-27 13:01:00	83	NA	99533	222413.000409169	7220219.00000522	-53.75258327	-25.10839406
-53.73038243	-25.09859824	2012-01-29 09:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-01-29 12:01:00	2012-01-29 09:01:00	83	158400	99534	224631.000126454	7221350.00040667	-53.73038243	-25.09859824
-53.72497542	-25.09073823	2012-01-29 13:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-01-29 16:01:00	2012-01-29 13:01:00	83	14400	99535	225159.000385683	7222231.99985196	-53.72497542	-25.09073823
-53.72188806	-25.0891525	2012-01-29 21:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-01-30 00:01:00	2012-01-29 21:01:00	83	28800	99536	225467.000254346	7222413.99979518	-53.72188806	-25.0891525
-53.72202203	-25.08938467	2012-01-30 01:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-01-30 04:01:00	2012-01-30 01:01:00	83	14400	99537	225453.999979235	7222388.00037994	-53.72202203	-25.08938467
-53.72073864	-25.09184482	2012-01-30 09:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-01-30 12:01:00	2012-01-30 09:01:00	83	28800	99538	225589.000390054	7222118.0003281	-53.72073864	-25.09184482
-53.72093796	-25.09189531	2012-01-30 13:02:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-01-30 16:02:00	2012-01-30 13:02:00	83	14460	99539	225569.000186495	7222112.0001614	-53.72093796	-25.09189531
-53.69590011	-25.08488943	2012-01-31 09:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-01-31 12:01:00	2012-01-31 09:01:00	83	71940	99540	228079.999510358	7222938.99946728	-53.69590011	-25.08488943
-53.68348588	-25.07683001	2012-01-31 21:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-01 00:01:00	2012-01-31 21:01:00	83	43200	99541	229315.000432914	7223857.00010165	-53.68348588	-25.07683001
-53.67922757	-25.07967755	2012-02-01 01:02:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-01 04:02:00	2012-02-01 01:02:00	83	14460	99542	229750.999614853	7223550.0003703	-53.67922757	-25.07967755
-53.67230131	-25.0815172	2012-02-01 05:02:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-01 08:02:00	2012-02-01 05:02:00	83	14400	99543	230453.99975978	7223359.99996222	-53.67230131	-25.0815172
-53.67040113	-25.07797766	2012-02-01 13:02:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-01 16:02:00	2012-02-01 13:02:00	83	28800	99544	230637.999975864	7223755.99975678	-53.67040113	-25.07797766
-53.67026285	-25.0779982	2012-02-01 17:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-01 20:01:00	2012-02-01 17:01:00	83	14340	99545	230651.999716953	7223753.9996392	-53.67026285	-25.0779982
-53.66476015	-25.07510999	2012-02-02 13:02:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-02 16:02:00	2012-02-02 13:02:00	83	72060	99546	231200.999597612	7224084.99968992	-53.66476015	-25.07510999
-53.65887584	-25.0719757	2012-02-02 17:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-02 20:01:00	2012-02-02 17:01:00	83	14340	99547	231788.000472872	7224444.00036164	-53.65887584	-25.0719757
-53.63758552	-25.05503711	2012-02-02 21:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-03 00:01:00	2012-02-02 21:01:00	83	14400	99548	233899.999882437	7226362.99949509	-53.63758552	-25.05503711
-53.63919052	-25.06104619	2012-02-03 01:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-03 04:01:00	2012-02-03 01:01:00	83	14400	99549	233751.000403831	7225694.00007395	-53.63919052	-25.06104619
-53.63929386	-25.06078263	2012-02-03 05:00:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-03 08:00:00	2012-02-03 05:00:00	83	14340	99550	233740.000176179	7225723.0002804	-53.63929386	-25.06078263
-53.63649753	-25.06483937	2012-02-03 09:00:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-03 12:00:00	2012-02-03 09:00:00	83	14400	99551	234030.999504995	7225279.00021665	-53.63649753	-25.06483937
-53.63390137	-25.07733075	2012-02-04 05:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-04 08:01:00	2012-02-04 05:01:00	83	72060	99552	234319.999520493	7223899.99976718	-53.63390137	-25.07733075
-53.6406309	-25.06352947	2012-02-04 17:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-04 20:01:00	2012-02-04 17:01:00	83	43200	99553	233611.000183571	7225415.99982457	-53.6406309	-25.06352947
-53.63489393	-25.06352315	2012-02-05 05:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-05 08:01:00	2012-02-05 05:01:00	83	43200	99554	234190.000446795	7225428.00048296	-53.63489393	-25.06352315
-53.64002966	-25.07337722	2012-02-05 13:00:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-05 16:00:00	2012-02-05 13:00:00	83	28740	99555	233692.999921436	7224326.00053429	-53.64002966	-25.07337722
-53.68198195	-25.09329103	2012-02-06 05:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-06 08:01:00	2012-02-06 05:01:00	83	57660	99556	229502.999621373	7222035.99972788	-53.68198195	-25.09329103
-53.62851555	-25.07570254	2012-02-07 21:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-08 00:01:00	2012-02-07 21:01:00	83	144000	99557	234859.999629505	7224090.99996931	-53.62851555	-25.07570254
-53.62545804	-25.0810182	2012-02-08 13:02:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-08 16:02:00	2012-02-08 13:02:00	83	57660	99558	235179.99985329	7223507.99946883	-53.62545804	-25.0810182
-53.62627745	-25.08458656	2012-02-08 21:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-09 00:01:00	2012-02-08 21:01:00	83	28740	99559	235105.000304457	7223111.00026168	-53.62627745	-25.08458656
-53.62626755	-25.08458674	2012-02-09 01:01:00	83	Male	NA	58	Not Resident	Not Resident	Iguazu	Atlantic Forest	Brazil	2012-02-09 04:01:00	2012-02-09 01:01:00	83	14400	99560	235105.999690063	7223110.99974403	-53.62626755	-25.08458674
