location.long	location.lat	timestamp	individual.local.identifier	sex	age	weight	status	model	project_region	project_bioveg	country	GMTtime	local_time	idf	dt	Event_ID	utm_x	utm_y	long_x	lat_y
-91.060739	16.730676	2012-01-17 02:10:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-17 08:10:00	2012-01-17 02:10:00	44	NA	59619	706746.936262876	11850768.9585525	-91.060739	16.730676
-91.060739	16.730676	2012-01-17 07:00:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-17 13:00:00	2012-01-17 07:00:00	44	17400	59620	706746.936262876	11850768.9585525	-91.060739	16.730676
-91.060824	16.730418	2012-01-17 11:50:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-17 17:50:00	2012-01-17 11:50:00	44	17400	59621	706738.149716152	11850740.3159641	-91.060824	16.730418
-91.06091	16.729131	2012-01-17 16:40:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-17 22:40:00	2012-01-17 16:40:00	44	17400	59622	706730.366399794	11850597.7874521	-91.06091	16.729131
-91.058249	16.731963	2012-01-18 07:10:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-18 13:10:00	2012-01-18 07:10:00	44	52200	59623	707011.093237304	11850913.9879091	-91.058249	16.731963
-91.060138	16.733165	2012-01-18 12:00:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-18 18:00:00	2012-01-18 12:00:00	44	17400	59624	706808.344035584	11851045.0543896	-91.060138	16.733165
-91.063485	16.73059	2012-01-19 07:20:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-19 13:20:00	2012-01-19 07:20:00	44	69600	59625	706454.180840556	11850756.5880361	-91.063485	16.73059
-91.062884	16.728959	2012-01-19 17:00:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-19 23:00:00	2012-01-19 17:00:00	44	34800	59626	706520.032131556	11850576.7007343	-91.062884	16.728959
-91.065888	16.723809	2012-01-19 21:50:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-20 03:50:00	2012-01-19 21:50:00	44	17400	59627	706205.206636911	11850003.6079657	-91.065888	16.723809
-91.066575	16.72338	2012-01-20 02:40:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-20 08:40:00	2012-01-20 02:40:00	44	17400	59628	706132.400032162	11849955.4165626	-91.066575	16.72338
-91.080222	16.72338	2012-01-20 07:30:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-20 13:30:00	2012-01-20 07:30:00	44	17400	59629	704676.963912706	11849941.3286614	-91.080222	16.72338
-91.085114	16.723123	2012-01-20 12:20:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-20 18:20:00	2012-01-20 12:20:00	44	17400	59630	704155.514020978	11849907.8597529	-91.085114	16.723123
-91.085973	16.722436	2012-01-20 17:10:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-20 23:10:00	2012-01-20 17:10:00	44	17400	59631	704064.63425803	11849830.9456605	-91.085973	16.722436
-91.088462	16.721749	2012-01-20 22:00:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-21 04:00:00	2012-01-20 22:00:00	44	17400	59632	703799.916046052	11849752.3619809	-91.088462	16.721749
-91.088548	16.721921	2012-01-21 12:30:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-21 18:30:00	2012-01-21 12:30:00	44	52200	59633	703790.561448027	11849771.3097882	-91.088548	16.721921
-91.088634	16.721835	2012-01-21 22:10:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-22 04:10:00	2012-01-21 22:10:00	44	34800	59634	703781.481042011	11849761.7037777	-91.088634	16.721835
-91.088891	16.722178	2012-01-22 07:50:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-22 13:50:00	2012-01-22 07:50:00	44	34800	59635	703753.707828753	11849799.4016976	-91.088891	16.722178
-91.088891	16.722693	2012-01-22 12:40:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-22 18:40:00	2012-01-22 12:40:00	44	17400	59636	703753.160596204	11849856.3986598	-91.088891	16.722693
-91.078849	16.76003	2012-01-24 17:50:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-24 23:50:00	2012-01-24 17:50:00	44	191400	59637	704784.199570346	11853998.9597611	-91.078849	16.76003
-91.079707	16.768527	2012-01-24 22:40:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-01-25 04:40:00	2012-01-24 22:40:00	44	17400	59638	704683.618351092	11854938.4771911	-91.079707	16.768527
-90.986152	16.697803	2012-02-23 03:30:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-02-23 09:30:00	2012-02-23 03:30:00	44	2523000	59639	714738.239871394	11847209.6235061	-90.986152	16.697803
-90.986152	16.697888	2012-02-23 08:20:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-02-23 14:20:00	2012-02-23 08:20:00	44	17400	59640	714738.144823262	11847219.0312376	-90.986152	16.697888
-90.981259	16.702094	2012-02-23 22:50:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-02-24 04:50:00	2012-02-23 22:50:00	44	52200	59641	715255.355196689	11847689.8287289	-90.981259	16.702094
-90.98289	16.705527	2012-02-24 03:40:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-02-24 09:40:00	2012-02-24 03:40:00	44	17400	59642	715077.537268828	11848068.0295687	-90.98289	16.705527
-91.001687	16.703296	2012-02-28 14:00:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-02-28 20:00:00	2012-02-28 14:00:00	44	382800	59643	713075.067515325	11847800.9025107	-91.001687	16.703296
-91.002631	16.702609	2012-02-28 18:50:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-02-29 00:50:00	2012-02-28 18:50:00	44	17400	59644	712975.139035275	11847723.8569907	-91.002631	16.702609
-90.990872	16.660466	2012-02-29 04:30:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-02-29 10:30:00	2012-02-29 04:30:00	44	34800	59645	714276.376090647	11843072.1303322	-90.990872	16.660466
-91.003404	16.654372	2012-02-29 09:20:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-02-29 15:20:00	2012-02-29 09:20:00	44	17400	59646	712946.103669161	11842384.2544834	-91.003404	16.654372
-91.093011	16.721921	2012-03-06 20:00:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-03-07 02:00:00	2012-03-06 20:00:00	44	556800	59647	703314.588306549	11849766.7445863	-91.093011	16.721921
-91.031642	16.752477	2012-03-08 10:40:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-03-08 16:40:00	2012-03-08 10:40:00	44	139200	59648	709826.132743353	11853212.3024238	-91.031642	16.752477
-91.028552	16.748443	2012-03-08 20:20:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-03-09 02:20:00	2012-03-08 20:20:00	44	34800	59649	710160.063772882	11852769.0968802	-91.028552	16.748443
-91.028552	16.748614	2012-03-09 01:10:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-03-09 07:10:00	2012-03-09 01:10:00	44	17400	59650	710159.876038884	11852788.0226947	-91.028552	16.748614
-91.027865	16.747584	2012-03-09 06:00:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-03-09 12:00:00	2012-03-09 06:00:00	44	17400	59651	710234.266911141	11852674.7518914	-91.027865	16.747584
-90.986409	16.726985	2012-03-13 11:30:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-03-13 17:30:00	2012-03-13 11:30:00	44	365400	59652	714678.171081407	11850439.1903524	-90.986409	16.726985
-90.986667	16.725955	2012-03-13 21:10:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-03-14 03:10:00	2012-03-13 21:10:00	44	34800	59653	714651.808390188	11850324.9121183	-90.986667	16.725955
-90.987096	16.723723	2012-03-14 02:00:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-03-14 08:00:00	2012-03-14 02:00:00	44	17400	59654	714608.553279967	11850077.412866	-90.987096	16.723723
-90.98701	16.723809	2012-03-14 06:50:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-03-14 12:50:00	2012-03-14 06:50:00	44	17400	59655	714617.629188778	11850087.0240596	-90.98701	16.723809
-90.991559	16.683898	2012-03-29 09:20:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-03-29 15:20:00	2012-03-29 09:20:00	44	1305000	59656	714176.988884649	11845664.815318	-90.991559	16.683898
-90.976796	16.678319	2012-04-06 15:30:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-04-06 21:30:00	2012-04-06 15:30:00	44	713400	59657	715758.10173855	11845063.2476967	-90.976796	16.678319
-90.968041	16.680379	2012-04-06 20:20:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-04-07 02:20:00	2012-04-06 20:20:00	44	17400	59658	716689.757403431	11845300.7383857	-90.968041	16.680379
-90.968041	16.680293	2012-04-07 01:10:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-04-07 07:10:00	2012-04-07 01:10:00	44	17400	59659	716689.854337268	11845291.2198997	-90.968041	16.680293
-90.967956	16.680379	2012-04-07 15:40:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-04-07 21:40:00	2012-04-07 15:40:00	44	52200	59660	716698.825069044	11845300.8307306	-90.967956	16.680379
-90.992332	16.683469	2012-04-09 06:20:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-04-09 12:20:00	2012-04-09 06:20:00	44	139200	59661	714095.006844605	11845616.5041164	-90.992332	16.683469
-90.998254	16.686473	2012-04-10 11:20:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-04-10 17:20:00	2012-04-10 11:20:00	44	104400	59662	713459.939949635	11845942.6337981	-90.998254	16.686473
-90.974736	16.692567	2012-04-16 07:30:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-04-16 13:30:00	2012-04-16 07:30:00	44	504600	59663	715961.849541792	11846642.4417083	-90.974736	16.692567
-90.988469	16.68098	2012-04-16 17:10:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-04-16 23:10:00	2012-04-16 17:10:00	44	34800	59664	714509.871657655	11845345.175427	-90.988469	16.68098
-90.99319	16.677032	2012-04-17 02:50:00	44	Female	6	34	Resident	OU	Greater Lacandona	Rainforest North	Mexico	2012-04-17 08:50:00	2012-04-17 02:50:00	44	34800	59665	714010.644790254	11844903.1448744	-90.99319	16.677032
