location.long	location.lat	timestamp	individual.local.identifier	sex	age	weight	status	model	project_region	project_bioveg	country	GMTtime	local_time	idf	dt	Event_ID	utm_x	utm_y	long_x	lat_y
-64.877263	-3.03684	2014-03-12 13:39:00	93	Male	7	50	Resident	OUF	Mamiraua	Amazonia_flood	Brazil	2014-03-12 17:39:00	2014-03-12 13:39:00	93	NA	111013	291361.648600942	9664153.65419619	-64.877263	-3.03684
-64.877105	-3.038135	2014-03-14 00:00:00	93	Male	7	50	Resident	OUF	Mamiraua	Amazonia_flood	Brazil	2014-03-14 04:00:00	2014-03-14 00:00:00	93	123660	111014	291379.463676261	9664010.46731593	-64.877105	-3.038135
-64.876807	-3.038255	2014-03-14 06:02:00	93	Male	7	50	Resident	OUF	Mamiraua	Amazonia_flood	Brazil	2014-03-14 10:02:00	2014-03-14 06:02:00	93	21720	111015	291412.618163898	9663997.25375478	-64.876807	-3.038255
-64.877153	-3.03809	2014-03-14 12:00:00	93	Male	7	50	Resident	OUF	Mamiraua	Amazonia_flood	Brazil	2014-03-14 16:00:00	2014-03-14 12:00:00	93	21480	111016	291374.118423428	9664015.43471196	-64.877153	-3.03809
-64.877072	-3.03821	2014-03-14 18:00:00	93	Male	7	50	Resident	OUF	Mamiraua	Amazonia_flood	Brazil	2014-03-14 22:00:00	2014-03-14 18:00:00	93	21600	111017	291383.147001797	9664002.17924597	-64.877072	-3.03821
-64.885507	-3.033158	2014-03-15 06:01:00	93	Male	7	50	Resident	OUF	Mamiraua	Amazonia_flood	Brazil	2014-03-15 10:01:00	2014-03-15 06:01:00	93	43260	111018	290444.373071577	9664559.26294738	-64.885507	-3.033158
-64.887686	-3.031688	2014-03-15 18:00:00	93	Male	7	50	Resident	OUF	Mamiraua	Amazonia_flood	Brazil	2014-03-15 22:00:00	2014-03-15 18:00:00	93	43140	111019	290201.827421416	9664721.41275149	-64.887686	-3.031688
-64.887788	-3.031543	2014-03-16 00:00:00	93	Male	7	50	Resident	OUF	Mamiraua	Amazonia_flood	Brazil	2014-03-16 04:00:00	2014-03-16 00:00:00	93	21600	111020	290190.459039273	9664737.42900312	-64.887788	-3.031543
-64.888473	-3.031137	2014-03-16 06:00:00	93	Male	7	50	Resident	OUF	Mamiraua	Amazonia_flood	Brazil	2014-03-16 10:00:00	2014-03-16 06:00:00	93	21600	111021	290114.221959766	9664782.19709762	-64.888473	-3.031137
-64.888699	-3.031063	2014-03-16 18:00:00	93	Male	7	50	Resident	OUF	Mamiraua	Amazonia_flood	Brazil	2014-03-16 22:00:00	2014-03-16 18:00:00	93	43200	111022	290089.08083227	9664790.33718963	-64.888699	-3.031063
-64.888955	-3.03231	2014-03-17 00:00:00	93	Male	7	50	Resident	OUF	Mamiraua	Amazonia_flood	Brazil	2014-03-17 04:00:00	2014-03-17 00:00:00	93	21600	111023	290060.859100487	9664652.37769297	-64.888955	-3.03231
-64.886187	-3.033822	2014-03-17 06:01:00	93	Male	7	50	Resident	OUF	Mamiraua	Amazonia_flood	Brazil	2014-03-17 10:01:00	2014-03-17 06:01:00	93	21660	111024	290368.898376626	9664485.69738146	-64.886187	-3.033822
