location.long	location.lat	timestamp	individual.local.identifier	sex	age	weight	status	model	project_region	project_bioveg	country	GMTtime	local_time	idf	dt	Event_ID	utm_x	utm_y	long_x	lat_y
-87.5784067	21.3556272	2014-01-12 00:00:00	49	Male	3	NA	Resident	OUF	Mexico East	Rainforest North	Mexico	2014-01-12 06:00:00	2014-01-12 00:00:00	49	NA	60913	440029.666543488	12361616.9341163	-87.5784067	21.3556272
-87.5783569	21.3556903	2014-01-12 02:00:00	49	Male	3	NA	Resident	OUF	Mexico East	Rainforest North	Mexico	2014-01-12 08:00:00	2014-01-12 02:00:00	49	7200	60914	440034.855707491	12361623.8991412	-87.5783569	21.3556903
-87.5782725	21.35556	2014-01-12 04:00:00	49	Male	3	NA	Resident	OUF	Mexico East	Rainforest North	Mexico	2014-01-12 10:00:00	2014-01-12 04:00:00	49	7200	60915	440043.5536732	12361609.4451672	-87.5782725	21.35556
-87.5783431	21.35595	2014-01-12 06:00:00	49	Male	3	NA	Resident	OUF	Mexico East	Rainforest North	Mexico	2014-01-12 12:00:00	2014-01-12 06:00:00	49	7200	60916	440036.392215002	12361652.6378842	-87.5783431	21.35595
-87.5800917	21.3598772	2014-01-12 08:00:00	49	Male	3	NA	Resident	OUF	Mexico East	Rainforest North	Mexico	2014-01-12 14:00:00	2014-01-12 08:00:00	49	7200	60917	439856.692580422	12362087.9742061	-87.5800917	21.3598772
-87.59921	21.3656453	2014-01-12 12:00:00	49	Male	3	NA	Resident	OUF	Mexico East	Rainforest North	Mexico	2014-01-12 18:00:00	2014-01-12 12:00:00	49	14400	60918	437876.906651258	12362733.829178	-87.59921	21.3656453
-87.5991253	21.3656781	2014-01-12 14:00:00	49	Male	3	NA	Resident	OUF	Mexico East	Rainforest North	Mexico	2014-01-12 20:00:00	2014-01-12 14:00:00	49	7200	60919	437885.701990691	12362737.4260902	-87.5991253	21.3656781
-87.5991686	21.3656761	2014-01-12 16:00:00	49	Male	3	NA	Resident	OUF	Mexico East	Rainforest North	Mexico	2014-01-12 22:00:00	2014-01-12 16:00:00	49	7200	60920	437881.21190003	12362737.2218295	-87.5991686	21.3656761
-87.5990972	21.3656036	2014-02-11 18:00:00	49	Male	3	NA	Resident	OUF	Mexico East	Rainforest North	Mexico	2014-02-12 00:00:00	2014-02-11 18:00:00	49	2599200	60921	437888.583923214	12362729.1691825	-87.5990972	21.3656036
-87.5991622	21.3656161	2014-02-11 20:00:00	49	Male	3	NA	Resident	OUF	Mexico East	Rainforest North	Mexico	2014-02-12 02:00:00	2014-02-11 20:00:00	49	7200	60922	437881.850136184	12362730.5783815	-87.5991622	21.3656161
-87.6127656	21.3581836	2014-02-11 22:00:00	49	Male	3	NA	Resident	OUF	Mexico East	Rainforest North	Mexico	2014-02-12 04:00:00	2014-02-11 22:00:00	49	7200	60923	436468.273248865	12361913.3676922	-87.6127656	21.3581836
-87.6128225	21.3589261	2014-02-12 00:00:00	49	Male	3	NA	Resident	OUF	Mexico East	Rainforest North	Mexico	2014-02-12 06:00:00	2014-02-12 00:00:00	49	7200	60924	436462.693817737	12361995.5721427	-87.6128225	21.3589261
-87.6136133	21.3592453	2014-02-12 02:00:00	49	Male	3	NA	Resident	OUF	Mexico East	Rainforest North	Mexico	2014-02-12 08:00:00	2014-02-12 02:00:00	49	7200	60925	436380.839335712	12362031.2214989	-87.6136133	21.3592453
-87.6135903	21.3591956	2014-02-12 04:00:00	49	Male	3	NA	Resident	OUF	Mexico East	Rainforest North	Mexico	2014-02-12 10:00:00	2014-02-12 04:00:00	49	7200	60926	436383.202576454	12362025.7112949	-87.6135903	21.3591956
