location.long	location.lat	timestamp	individual.local.identifier	sex	age	weight	status	model	project_region	project_bioveg	country	GMTtime	local_time	idf	dt	Event_ID	utm_x	utm_y	long_x	lat_y
-57.05413852	-19.49537523	2008-07-05 03:51:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-05 07:51:00	2008-07-05 03:51:00	105	NA	118633	494318.999647154	7844357.99959332	-57.05413852	-19.49537523
-57.05422428	-19.49534809	2008-07-05 07:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-05 11:00:00	2008-07-05 07:00:00	105	10800	118634	494309.999510928	7844360.99989783	-57.05422428	-19.49534809
-57.05492919	-19.49449838	2008-07-05 16:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-05 20:00:00	2008-07-05 16:00:00	105	32400	118635	494235.999996942	7844455.00003376	-57.05492919	-19.49449838
-57.05705407	-19.49381993	2008-07-05 19:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-05 23:00:00	2008-07-05 19:00:00	105	10800	118636	494013.000499683	7844530.00039149	-57.05705407	-19.49381993
-57.05714949	-19.49414524	2008-07-06 01:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-06 05:00:00	2008-07-06 01:00:00	105	21600	118637	494002.999529846	7844494.00027264	-57.05714949	-19.49414524
-57.06194344	-19.52055935	2008-07-06 16:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-06 20:00:00	2008-07-06 16:00:00	105	54000	118638	493500.99985203	7841570.99955551	-57.06194344	-19.52055935
-57.05612003	-19.52104925	2008-07-06 19:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-06 23:00:00	2008-07-06 19:00:00	105	10800	118639	494112.000006828	7841517.00043986	-57.05612003	-19.52104925
-57.05167214	-19.50114168	2008-07-06 22:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-07 02:00:00	2008-07-06 22:00:00	105	10800	118640	494578.000211952	7843719.99946663	-57.05167214	-19.50114168
-57.04952627	-19.49586456	2008-07-07 04:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-07 08:00:00	2008-07-07 04:00:00	105	21600	118641	494802.999669124	7844303.99948205	-57.04952627	-19.49586456
-57.04662188	-19.50352886	2008-07-07 07:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-07 11:00:00	2008-07-07 07:00:00	105	10800	118642	495107.999965644	7843456.00045492	-57.04662188	-19.50352886
-57.04505164	-19.51165369	2008-07-07 10:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-07 14:00:00	2008-07-07 10:00:00	105	10800	118643	495273.000198828	7842556.99990259	-57.04505164	-19.51165369
-57.0489235	-19.51962347	2008-07-07 16:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-07 20:00:00	2008-07-07 16:00:00	105	21600	118644	494867.000513104	7841675.00014096	-57.0489235	-19.51962347
-57.03690523	-19.52198502	2008-07-08 01:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-08 05:00:00	2008-07-08 01:00:00	105	32400	118645	496128.000505292	7841414.00050346	-57.03690523	-19.52198502
-57.03914399	-19.51740271	2008-07-08 10:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-08 14:00:00	2008-07-08 10:00:00	105	32400	118646	495892.999929607	7841920.999777	-57.03914399	-19.51740271
-57.03863909	-19.51844209	2008-07-08 13:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-08 17:00:00	2008-07-08 13:00:00	105	10800	118647	495946.000120383	7841806.00016051	-57.03863909	-19.51844209
-57.04272806	-19.51893822	2008-07-08 16:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-08 20:00:00	2008-07-08 16:00:00	105	10800	118648	495517.000430204	7841750.99956992	-57.04272806	-19.51893822
-57.04569227	-19.51900979	2008-07-08 19:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-08 23:00:00	2008-07-08 19:00:00	105	10800	118649	495205.999553439	7841742.99987675	-57.04569227	-19.51900979
-57.04617832	-19.51889218	2008-07-08 22:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-09 02:00:00	2008-07-08 22:00:00	105	10800	118650	495155.000020284	7841756.00024432	-57.04617832	-19.51889218
-57.04609254	-19.51890124	2008-07-09 01:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-09 05:00:00	2008-07-09 01:00:00	105	10800	118651	495164.000274341	7841755.00013956	-57.04609254	-19.51890124
-57.05222969	-19.51608901	2008-07-09 04:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-09 08:00:00	2008-07-09 04:00:00	105	10800	118652	494519.999529807	7842066.00027738	-57.05222969	-19.51608901
-57.05308809	-19.51797753	2008-07-09 07:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-09 11:00:00	2008-07-09 07:00:00	105	10800	118653	494429.999860708	7841857.00018296	-57.05308809	-19.51797753
-57.05419308	-19.51614266	2008-07-09 13:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-09 17:00:00	2008-07-09 13:00:00	105	21600	118654	494314.00017174	7842059.99977324	-57.05419308	-19.51614266
-57.0519808	-19.51270918	2008-07-09 16:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-09 20:00:00	2008-07-09 16:00:00	105	10800	118655	494546.000026077	7842440.00007315	-57.0519808	-19.51270918
-57.05199033	-19.51270918	2008-07-09 19:00:00	105	Female	3	70	Resident	OU	Sao Bento	Pantanal	Brazil	2008-07-09 23:00:00	2008-07-09 19:00:00	105	10800	118656	494545.000106281	7842439.99977011	-57.05199033	-19.51270918
