location.long	location.lat	timestamp	individual.local.identifier	sex	age	weight	status	model	project_region	project_bioveg	country	GMTtime	local_time	idf	dt	Event_ID	utm_x	utm_y	long_x	lat_y
-109.22284	29.69034	2013-01-01 18:00:00	43	Female	8	32	Resident	OU	Mexico Sonora	Thornscrub	Mexico	2013-01-02 01:00:00	2013-01-01 18:00:00	43	NA	59042	671946.755924902	13285794.4204928	-109.22284	29.69034
-109.22279	29.69059	2013-01-01 21:00:00	43	Female	8	32	Resident	OU	Mexico Sonora	Thornscrub	Mexico	2013-01-02 04:00:00	2013-01-01 21:00:00	43	10800	59043	671951.168574717	13285822.2024164	-109.22279	29.69059
-109.22288	29.69038	2013-01-01 23:00:00	43	Female	8	32	Resident	OU	Mexico Sonora	Thornscrub	Mexico	2013-01-02 06:00:00	2013-01-01 23:00:00	43	7200	59044	671942.817012141	13285798.7942164	-109.22288	29.69038
-109.22367	29.69251	2013-01-02 05:00:00	43	Female	8	32	Resident	OU	Mexico Sonora	Thornscrub	Mexico	2013-01-02 12:00:00	2013-01-02 05:00:00	43	21600	59045	671862.742693048	13286033.6880504	-109.22367	29.69251
-109.22303	29.69058	2013-01-02 11:00:00	43	Female	8	32	Resident	OU	Mexico Sonora	Thornscrub	Mexico	2013-01-02 18:00:00	2013-01-02 11:00:00	43	21600	59046	671927.960961582	13285820.7372036	-109.22303	29.69058
-109.2229	29.69049	2013-01-02 14:00:00	43	Female	8	32	Resident	OU	Mexico Sonora	Thornscrub	Mexico	2013-01-02 21:00:00	2013-01-02 14:00:00	43	10800	59047	671940.694267752	13285810.9558013	-109.2229	29.69049
-109.2229	29.69048	2013-01-02 18:00:00	43	Female	8	32	Resident	OU	Mexico Sonora	Thornscrub	Mexico	2013-01-03 01:00:00	2013-01-02 18:00:00	43	14400	59048	671940.7112999	13285809.8474988	-109.2229	29.69048
-109.22285	29.6905	2013-01-02 21:00:00	43	Female	8	32	Resident	OU	Mexico Sonora	Thornscrub	Mexico	2013-01-03 04:00:00	2013-01-02 21:00:00	43	10800	59049	671945.515707483	13285812.1384614	-109.22285	29.6905
-109.22285	29.6905	2013-01-02 23:00:00	43	Female	8	32	Resident	OU	Mexico Sonora	Thornscrub	Mexico	2013-01-03 06:00:00	2013-01-02 23:00:00	43	7200	59050	671945.515707483	13285812.1384614	-109.22285	29.6905
-109.22274	29.69045	2013-01-03 11:00:00	43	Female	8	32	Resident	OU	Mexico Sonora	Thornscrub	Mexico	2013-01-03 18:00:00	2013-01-03 11:00:00	43	43200	59051	671956.245514252	13285806.7605428	-109.22274	29.69045
-109.22306	29.69086	2013-01-03 14:00:00	43	Female	8	32	Resident	OU	Mexico Sonora	Thornscrub	Mexico	2013-01-03 21:00:00	2013-01-03 14:00:00	43	10800	59052	671924.581020287	13285851.7250634	-109.22306	29.69086
