location.long	location.lat	timestamp	individual.local.identifier	sex	age	weight	status	model	project_region	project_bioveg	country	GMTtime	local_time	idf	dt	Event_ID	utm_x	utm_y	long_x	lat_y
-50.358818	-5.990446	2011-12-06 01:13:00	24	Male	5	80	Not Resident	Not Resident	Para	Amazonia	Brazil	2011-12-06 04:13:00	2011-12-06 01:13:00	24	NA	34508	570961.942467733	9337810.11300897	-50.358818	-5.990446
-50.367358	-5.988997	2011-12-06 17:20:00	24	Male	5	80	Not Resident	Not Resident	Para	Amazonia	Brazil	2011-12-06 20:20:00	2011-12-06 17:20:00	24	58020	34509	570016.936116141	9337971.39475395	-50.367358	-5.988997
-50.368345	-5.990864	2011-12-06 21:06:00	24	Male	5	80	Not Resident	Not Resident	Para	Amazonia	Brazil	2011-12-07 00:06:00	2011-12-06 21:06:00	24	13560	34510	569907.459193366	9337765.12599624	-50.368345	-5.990864
-50.365791	-5.996733	2011-12-07 01:01:00	24	Male	5	80	Not Resident	Not Resident	Para	Amazonia	Brazil	2011-12-07 04:01:00	2011-12-07 01:01:00	24	14100	34511	570189.380664973	9337115.98906158	-50.365791	-5.996733
-50.374331	-6.0335	2011-12-09 21:18:00	24	Male	5	80	Not Resident	Not Resident	Para	Amazonia	Brazil	2011-12-10 00:18:00	2011-12-09 21:18:00	24	245820	34512	569239.550506567	9333052.52978006	-50.374331	-6.0335
-50.372164	-6.037545	2011-12-10 05:21:00	24	Male	5	80	Not Resident	Not Resident	Para	Amazonia	Brazil	2011-12-10 08:21:00	2011-12-10 05:21:00	24	28980	34513	569478.855384276	9332605.08392226	-50.372164	-6.037545
-50.372937	-6.039734	2011-12-10 09:01:00	24	Male	5	80	Not Resident	Not Resident	Para	Amazonia	Brazil	2011-12-10 12:01:00	2011-12-10 09:01:00	24	13200	34514	569393.03010871	9332363.19103356	-50.372937	-6.039734
-50.375404	-6.082735	2011-12-12 17:17:00	24	Male	5	80	Not Resident	Not Resident	Para	Amazonia	Brazil	2011-12-12 20:17:00	2011-12-12 17:17:00	24	202560	34515	569114.540300082	9327609.79210591	-50.375404	-6.082735
-50.360684	-6.073272	2011-12-13 01:14:00	24	Male	5	80	Not Resident	Not Resident	Para	Amazonia	Brazil	2011-12-13 04:14:00	2011-12-13 01:14:00	24	28620	34516	570744.680600791	9328654.01591194	-50.360684	-6.073272
-50.352445	-6.042212	2011-12-15 01:01:00	24	Male	5	80	Not Resident	Not Resident	Para	Amazonia	Brazil	2011-12-15 04:01:00	2011-12-15 01:01:00	24	172020	34517	571660.515692054	9332086.59563375	-50.352445	-6.042212
